"address","name","chain","fee"
"0x3d4f0513e8a29669b960f9dbca61861548a9a760","BANANAS31","BSC",2.43
"0x0422f966bf8e978075a97d47ef4c7efd3563fa51","HBAR","BSC",0.16
"0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63","XVS","BSC",0.0071
"BFUSD_BNB","BFUSD","BNB",0.0
"0xe55e19fb4f2d85af758950957714292dac1e25b2","SYN","FTM",1.99
"0x8d0d000ee44948fc98c9b98a4fa4921476f08b0d","USD1","BSC",0.0
"XNO_NANO","XNO","NANO",0.041
"ETH_OPTIMISM","ETH","OPTIMISM",5e-06
"0x539bde0d7dbd336b79148aa742883198bbf60342","MAGIC","ARBITRUM",0.93
"0x471ece3750da237f93b8e339c536989b8978a438","CELO","CELO",0.003
"OSMO_OSMO","OSMO","OSMO",0.06
"0xcafcd85d8ca7ad1e1c6f82f651fa15e33aefd07b","WOO","ARBITRUM",2.96
"0x080f6aed32fc474dd5717105dba5ea57268f46eb","SYN","ARBITRUM",1.58
"0x7083609fce4d1d8dc0c979aab8c869ea2c873402","DOT","BSC",0.0044
"0x289ba1701c2f088cf0faf8b3705246331cb8a839","LPT","ARBITRUM",0.034
"0xf43eb8de897fbc7f2502483b2bef7bb9ea179229","ZEN","BASE",0.031
"0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000","METIS","METIS",0.0015
"PLUME_PLUME","PLUME","PLUME",1.0
"uluna","LUNC","LUNC",22.66
"0xbc7d6b50616989655afd682fb42743507003056d","ACH","BSC",0.83
"BTC_BTC","BTC","BTC",3e-05
"ROSE_ROSE","ROSE","ROSE",0.1
"0xabe8e5cabe24cb36df9540088fd7ce1175b9bc52","SOLV","BSC",1.87
"EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm","WIF","SOL",0.75
"0x00312400303d02c323295f6e8b7309bc30fb6bce","ERA","BSC",0.11
"CKB_CKB","CKB","CKB",0.001
"uusd","USTC","LUNC",0.6
"IOTX_IOTX","IOTX","IOTX",0.12
"0xc56f33fc6ecfcd0c225c4ab356fee59390af8560be0e930faebe74a6daff7c9b","NEO","NEO",0.0
"0xaff2e841851700d1fc101995ee6b81ae21bb87d7","SPK","BSC",0.24
"0x43c934a845205f0b514417d757d7235b8f53f1b9","XLM","BSC",0.043
"0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e","ZK","ZKSYNCERA",0.1
"0x9678e42cebeb63f23197d726b29b1cb20d0064e5","IOTX","BSC",3.03
"GUN_GUNZ","GUN","GUNZ",1.0
"4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R","RAY","SOL",0.2
"SOMI_SOMI","SOMI","SOMI",0.02
"0x47bead2563dcbf3bf2c9407fea4dc236faba485a","SXP","BSC",0.097
"0x26433c8127d9b4e9b71eaa15111df99ea2eeb2f8","MANA","BSC",0.061
"0x8b1f4432f943c465a973fedc6d7aa50fc96f1f65","AXL","BSC",0.055
"AVAX_AVAX","AVAX","AVAX",0.008
"0x06864a6f921804860930db6ddbe2e16acdf8504495ea7481637a1c8b9a8fe54b::cetus::CETUS","CETUS","SUI",0.5
"0xa6610b3361c4c0d206aa3364cd985016c2d89386","ASR","CHZ2",0.0
"0x49f2145d6366099e13b10fbf80646c0f377ee7f6","PORTO","BSC",0.015
"0xfb5b838b6cfeedc2873ab27866079ac55363d37e","FLOKI","BSC",169.0
"TON_TONMEMO","TON","TONMEMO",0.02
"LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc","LAYER","SOL",2.83
"ETHW_ETHW","ETHW","ETHW",0.004
"0x0409633a72d846fc5bbe2f98d88564d35987904d","PHB","BSC",0.03
"0xfeb339236d25d3e415f280189bc7c2fbab6ae9ef","ENSO","BSC",0.021
"0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb","SFP","BSC",0.094
"0x79a02482a880bce3f13e09da970dc34db4cd24d1","USDC","WLD",1.0
"TAFjULxiVgT4qWk6UZwjqwZXTSaGaqnVp4","BTTC","TRX",595132.0
"ARDR_ARDR","ARDR","ARDR",2.0
"0xde2f075f6f14eb9d96755b24e416a53e736ca363","FXS","BSC",0.0062
"0x25e9d05365c867e59c1904e7463af9f312296f9e","ATM","BSC",0.02
"BNB_BSC","BNB","BSC",1e-05
"0x9560e827af36c94d2ac33a39bce1fe78631088db","VELODROME","OPTIMISM",0.84
"0x1c306872bc82525d72bf3562e8f0aa3f8f26e857","YGG","RON",1.0
"FIL_FILEVM","FIL","FILEVM",0.0
"KAVA_KAVAEVM","KAVA","KAVAEVM",0.002
"0x0b2c639c533813f4aa9d7837caf62653d097ff85","USDC","OPTIMISM",0.043
"0x1d17cbcf0d6d143135ae902365d2e5e2a16538d4","USDC","ZKSYNCERA",0.17
"0x0eb3a705fc54725037cc9e008bdede697f62f335","ATOM","BSC",0.0038
"0x1b4617734c43f6159f3a70b7e06d883647512778","AWE","BASE",7.71
"TUpMhErZL2fhh4sVNULAbNKLokS4GjC1F4","TUSD","TRX",0.8
"31566704","USDC","ALGO",1.0
"0x2117e8b79e8e176a670c9fcf945d4348556bffad","EUL","BSC",0.0036
"0x1a5d7e4c3a7f940b240b7357a4bfed30d17f9497","HOLO","BSC",0.25
"0x2c44b726adf1963ca47af88b284c06f30380fc78","PEOPLE","BSC",0.88
"HUMA1821qVDKta3u2ovmfDQeW2fSQouSKE8fkF44wvGw","HUMA","SOL",21.0
"0x8ff795a6f4d97e7887c79bea79aba5cc76444adf","BCH","BSC",3e-05
"0xc9ccbd76c2353e593cc975f13295e8289d04d3bb","F","BSC",2.21
"SYS_SYS","SYS","SYS",1.0
"0x2859e4544c4bb03966803b044a93563bd2d0dd4d","SHIB","BSC",1359.0
"0x4b0f1812e5df2a09796481ff14017e6005508003","TWT","BSC",0.022
"0x5b73a93b4e5e4f1fd27d8b3f8c97d69908b5e284","FORM","BSC",0.053
"ukava","KAVA","KAVA",0.03
"0x2aa69e8d25c045b659787bc1f03ce47a388db6e8","KSM","BSC",0.0012
"0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07","JOE","ARBITRUM",1.42
"0x6e4e624106cb12e168e6533f8ec7c82263358940","AXL","MATIC",0.021
